idx,title,rank_99,rank_85,rank_50,rank_by_inbound_links,pr_50,pr_85,pr_99,N_inbound_links,N_outbound_links,link
329,Carleson-Maß,1040,915,780,1134,0.00052369730295891,0.00020492503159257812,1.5555365434421075e-05,1,2,/wiki/Carleson-Ma%C3%9F
312,Ingo Steinwart,1035,915,780,1134,0.00052369730295891,0.00020492503159257812,1.555536543442108e-05,1,2,/wiki/Ingo_Steinwart
296,Kazimierz Urbanik,1040,922,780,1134,0.00052369730295891,0.0002049250315925781,1.5555365434421075e-05,1,2,/wiki/Kazimierz_Urbanik
217,Hans Wolfgang Brachinger,1046,922,780,1134,0.00052369730295891,0.0002049250315925781,1.5555365434421072e-05,1,2,/wiki/Hans_Wolfgang_Brachinger
284,Hans Richter (Mathematiker),1040,922,780,1134,0.00052369730295891,0.0002049250315925781,1.5555365434421075e-05,1,2,/wiki/Hans_Richter_(Mathematiker)
273,Frieder Nake,1046,922,780,1134,0.00052369730295891,0.0002049250315925781,1.5555365434421072e-05,1,2,/wiki/Frieder_Nake
216,Jens Braband,1050,922,780,1134,0.00052369730295891,0.0002049250315925781,1.555536543442107e-05,1,2,/wiki/Jens_Braband
262,Gerhard Larcher (Mathematiker),1040,922,780,1134,0.00052369730295891,0.0002049250315925781,1.5555365434421075e-05,1,2,/wiki/Gerhard_Larcher_(Mathematiker)
276,Volker Oppitz (Wirtschaftsmathematiker),1040,926,780,1134,0.00052369730295891,0.00020492503159257806,1.5555365434421075e-05,1,2,/wiki/Volker_Oppitz_(Wirtschaftsmathematiker)
275,Gleb Wladimirowitsch Nossowski,1040,926,780,1134,0.00052369730295891,0.00020492503159257806,1.5555365434421075e-05,1,2,/wiki/Gleb_Wladimirowitsch_Nossowski
90,Kovarianzanalyse (Strukturanalyse),1040,928,770,1134,0.0005236973029589101,0.00020492503159257803,1.5555365434421075e-05,1,2,/wiki/Kovarianzanalyse_(Strukturanalyse)
381,Mittelbare Wirkung,1050,929,780,1134,0.00052369730295891,0.00020492503159257798,1.555536543442107e-05,1,2,/wiki/Mittelbare_Wirkung
997,Kinetische Monte-Carlo-Methode,1067,930,759,1134,0.000523697302958911,0.00020492503159257774,1.5555365434421008e-05,1,2,/wiki/Kinetische_Monte-Carlo-Methode
1179,Rossi-Verteilung,1069,931,753,1134,0.0005236973029589112,0.0002049250315925777,1.5555365434420994e-05,1,2,/wiki/Rossi-Verteilung
564,Satz von Marsaglia,1054,932,768,1134,0.0005236973029589103,0.00020492503159257766,1.555536543442105e-05,1,2,/wiki/Satz_von_Marsaglia
982,Direkter Schluss,1067,932,759,1134,0.000523697302958911,0.00020492503159257766,1.5555365434421008e-05,1,2,/wiki/Direkter_Schluss
959,Rajchman-Maß,1065,934,759,1134,0.000523697302958911,0.00020492503159257763,1.555536543442101e-05,1,2,/wiki/Rajchman-Ma%C3%9F
614,FHP-Modell,1055,935,767,1134,0.0005236973029589105,0.0002049250315925776,1.5555365434421048e-05,1,2,/wiki/FHP-Modell
945,Invariant Random Subgroup,1065,936,759,1134,0.000523697302958911,0.00020492503159257755,1.555536543442101e-05,1,2,/wiki/Invariant_Random_Subgroup
922,Kozykel-Starrheit,1062,937,759,1134,0.000523697302958911,0.0002049250315925775,1.5555365434421018e-05,1,2,/wiki/Kozykel-Starrheit
657,Robbins-Monro-Prozess,1057,939,765,1134,0.0005236973029589106,0.00020492503159257747,1.5555365434421045e-05,1,2,/wiki/Robbins-Monro-Prozess
928,Mostow-Starrheit,1063,939,759,1134,0.000523697302958911,0.00020492503159257747,1.5555365434421014e-05,1,2,/wiki/Mostow-Starrheit
930,Oppenheim-Vermutung,1063,939,759,1134,0.000523697302958911,0.00020492503159257747,1.5555365434421014e-05,1,2,/wiki/Oppenheim-Vermutung
840,Time Warp Edit Distance,1060,941,759,1134,0.000523697302958911,0.00020492503159257744,1.555536543442103e-05,1,2,/wiki/Time_Warp_Edit_Distance
804,Differenzengleichung,1058,942,759,1134,0.000523697302958911,0.0002049250315925774,1.5555365434421035e-05,1,2,/wiki/Differenzengleichung
688,123-Theorem,1055,942,765,1134,0.0005236973029589106,0.0002049250315925774,1.5555365434421048e-05,1,2,/wiki/123-Theorem
827,Ordnungsmuster,1060,944,759,1134,0.000523697302958911,0.00020492503159257738,1.555536543442103e-05,1,2,/wiki/Ordnungsmuster
832,Prädiktionsverfahren,1060,945,759,1134,0.000523697302958911,0.00020492503159257736,1.555536543442103e-05,1,2,/wiki/Pr%C3%A4diktionsverfahren
641,Modifikationen eines stochastischen Prozesses,907,946,845,724,0.00050688830246959,0.00020448191767576587,4.065533730028383e-05,4,7,/wiki/Modifikationen_eines_stochastischen_Prozesses
458,Bayes-Risiko,927,947,881,499,0.0004974835867061687,0.00020437547094246967,3.5754016665082844e-05,7,8,/wiki/Bayes-Risiko
1257,G-Test,822,948,963,969,0.0004762587612714482,0.0002042940481018598,6.573822318765878e-05,2,4,/wiki/G-Test
848,Vektorautoregressive Modelle,959,949,920,641,0.0004895945519615665,0.0002034466945260104,2.896734796121677e-05,5,10,/wiki/Vektorautoregressive_Modelle
1220,Ausreißertest nach Walsh,857,950,992,641,0.0004699700585547969,0.00020338476297664825,5.4408327433438414e-05,5,6,/wiki/Ausrei%C3%9Fertest_nach_Walsh
816,Interventionsmodell,1070,951,740,833,0.0005268858296674315,0.00020301458667699253,1.547437419172994e-05,3,7,/wiki/Interventionsmodell
401,Satz von Pratt,694,952,1076,969,0.0004468935229954322,0.00020219284902643116,0.00011505909271411656,2,8,/wiki/Satz_von_Pratt
202,David Aldous,1002,953,867,833,0.0005009040197617981,0.00020216163370729805,2.085776808049508e-05,3,5,/wiki/David_Aldous
319,Auswahlsatz von Helly,752,954,1011,833,0.00046357406176730467,0.00020148641380047304,9.048532323208824e-05,3,8,/wiki/Auswahlsatz_von_Helly
382,Modulare Funktion (harmonische Analyse),760,955,997,969,0.0004689463821270144,0.00020096721455407752,8.727675689861003e-05,2,5,/wiki/Modulare_Funktion_(harmonische_Analyse)
506,Stichprobenmoment,806,956,1090,969,0.00044369889847194535,0.00020054837958791385,7.132265692634352e-05,2,17,/wiki/Stichprobenmoment
489,Randomisierte Entscheidungsfunktion,883,957,959,724,0.00047670509884755775,0.00020017398318864624,4.603569285605539e-05,4,25,/wiki/Randomisierte_Entscheidungsfunktion
525,Erneuerungssatz von Blackwell,799,958,1007,969,0.0004649995353048387,0.0002000178916834868,7.324478708635244e-05,2,6,/wiki/Erneuerungssatz_von_Blackwell
638,Max-stabile Prozesse,911,959,901,969,0.0004925822552928548,0.00020000831992338021,3.939343028513211e-05,2,4,/wiki/Max-stabile_Prozesse
